"rt","response","dr","drt","observed","subject","condition"
0.9013,0,FALSE,0,1,"s1","speed"
0.5044,1,FALSE,0,1,"s1","speed"
0.6449,1,FALSE,0,1,"s1","speed"
0.663,1,FALSE,0,1,"s1","speed"
0.6408,0,FALSE,0,1,"s1","speed"
0.5734,1,FALSE,0,1,"s1","speed"
0.5498,1,FALSE,0,1,"s1","speed"
0.3814,1,FALSE,0,1,"s1","speed"
0.5182,1,FALSE,0,1,"s1","speed"
0.4626,1,FALSE,0,1,"s1","speed"
0.3476,1,FALSE,0,1,"s1","speed"
0.3745,1,FALSE,0,1,"s1","speed"
0.3134,0,FALSE,0,1,"s1","speed"
0.517,0,FALSE,0,1,"s1","speed"
0.497,1,FALSE,0,1,"s1","speed"
0.5336,0,FALSE,0,1,"s1","speed"
0.9223,1,FALSE,0,1,"s1","speed"
0.6345,1,FALSE,0,1,"s1","speed"
0.5492,1,FALSE,0,1,"s1","speed"
0.5628,0,FALSE,0,1,"s1","speed"
0.9511,0,FALSE,0,1,"s1","speed"
0.4477,1,FALSE,0,1,"s1","speed"
0.5287,1,FALSE,0,1,"s1","speed"
0.3579,1,FALSE,0,1,"s1","speed"
0.4473,0,FALSE,0,1,"s1","speed"
0.656,1,FALSE,0,1,"s1","speed"
0.7472,1,FALSE,0,1,"s1","speed"
0.6499,1,FALSE,0,1,"s1","speed"
0.8171,1,FALSE,0,1,"s1","speed"
0.7724,1,FALSE,0,1,"s1","speed"
0.5892,0,FALSE,0,1,"s1","speed"
0.6447,1,FALSE,0,1,"s1","speed"
0.6478,1,FALSE,0,1,"s1","speed"
0.6612,1,FALSE,0,1,"s1","speed"
0.8431,1,FALSE,0,1,"s1","speed"
0.5759,1,FALSE,0,1,"s1","speed"
0.4258,1,FALSE,0,1,"s1","speed"
0.4092,1,FALSE,0,1,"s1","speed"
0.4979,1,FALSE,0,1,"s1","speed"
0.5368,1,FALSE,0,1,"s1","speed"
0.5079,1,FALSE,0,1,"s1","speed"
0.3885,1,FALSE,0,1,"s1","speed"
0.6254,1,FALSE,0,1,"s1","speed"
0.4523,1,FALSE,0,1,"s1","speed"
0.5487,0,FALSE,0,1,"s1","speed"
0.521,0,FALSE,0,1,"s1","speed"
0.6509,1,FALSE,0,1,"s1","speed"
0.6171,1,FALSE,0,1,"s1","speed"
0.6899,0,FALSE,0,1,"s1","speed"
0.5091,1,FALSE,0,1,"s1","speed"
0.7108,1,FALSE,0,1,"s1","speed"
0.4391,1,FALSE,0,1,"s1","speed"
0.4068,1,FALSE,0,1,"s1","speed"
0.3033,0,FALSE,0,1,"s1","speed"
0.4607,1,FALSE,0,1,"s1","speed"
0.5647,1,FALSE,0,1,"s1","speed"
0.5104,1,FALSE,0,1,"s1","speed"
0.4374,1,FALSE,0,1,"s1","speed"
0.43,0,FALSE,0,1,"s1","speed"
0.4754,1,FALSE,0,1,"s1","speed"
0.4636,0,FALSE,0,1,"s1","speed"
0.5046,0,FALSE,0,1,"s1","speed"
0.4949,1,FALSE,0,1,"s1","speed"
0.5787,1,FALSE,0,1,"s1","speed"
0.3758,0,FALSE,0,1,"s1","speed"
0.5546,1,FALSE,0,1,"s1","speed"
0.7155,1,FALSE,0,1,"s1","speed"
0.4938,0,FALSE,0,1,"s1","speed"
0.4898,1,FALSE,0,1,"s1","speed"
0.5726,1,FALSE,0,1,"s1","speed"
0.4543,1,FALSE,0,1,"s1","speed"
0.3604,0,FALSE,0,1,"s1","speed"
0.6379,1,FALSE,0,1,"s1","speed"
0.4397,0,FALSE,0,1,"s1","speed"
0.4894,1,FALSE,0,1,"s1","speed"
0.5567,0,FALSE,0,1,"s1","speed"
0.8252,1,FALSE,0,1,"s1","speed"
0.468,1,FALSE,0,1,"s1","speed"
0.3755,1,FALSE,0,1,"s1","speed"
0.4214,1,FALSE,0,1,"s1","speed"
0.7226,1,FALSE,0,1,"s1","speed"
0.6034,1,FALSE,0,1,"s1","speed"
0.4502,0,FALSE,0,1,"s1","speed"
